time	amplitude
0	-0.64
1	-0.715201982345859
2	-0.7815674988343009
3	-0.8401348615737778
4	-0.8918203777839147
5	-0.9374326857478462
6	-0.9776854062457505
7	-1.0132083074057547
8	0.64
9	0.715201982345859
10	0.7815674988343009
11	0.8401348615737778
12	0.8918203777839147
13	0.9374326857478462
14	0.9776854062457505
15	1.0132083074057547
16	0.64
17	0.49843250116569915
18	0.38817962221608543
19	0.3023145937542494
20	0.23544284234972307
21	0.1833630699905217
22	0.14280330249499512
23	0.11121532380828489
24	0.08661458127143215
25	0.06745550371959319
26	0.05253439911929524
27	0.040913831172292844
28	0.031863723755432935
29	0.024815493012302094
30	0.01932632539028385
31	0.015051357347845825
32	0.011722008888789886
33	0.009129109701759524
34	0.007109757784475077
35	0.005537084929997202
36	0.004312286079414701
37	0.0033584117754760947
38	0.0026155337206170046
39	0.0020369797097661885
40	0.0015864013930664686
41	0.0012354906471857329
42	0.0009622010835056483
43	0.0007493629573063538
44	0.0005836044579548887
45	0.00045451160885923034
46	0.0003539739968946127
47	0.00027567522596844043
48	0.0002146960818576088
49	0.00016720547667306695
50	0.00013021975616681205
51	0.00010141524807408079
52	7.898227461547506e-05
53	6.151145731929268e-05
54	4.790517112812798e-05
55	3.730858478775664e-05
56	2.9055955047990283e-05
57	2.2628800544262554e-05
58	1.7623327583837864e-05
59	1.3725061322617104e-05
60	1.068908850575705e-05
61	8.324670498603196e-06
62	6.483259903123824e-06
63	5.049167889408251e-06
64	3.932295906129955e-06
65	3.062475130962416e-06
66	2.3850580301303904e-06
67	1.8574850615363424e-06
68	1.4466108204678706e-06
69	1.1266216397799778e-06
70	8.77413815285779e-07
71	6.833305664222983e-07
72	5.321783802263027e-07
73	4.144609392538722e-07
74	3.227825040434488e-07
75	2.513832669107598e-07
76	1.9577748512117755e-07
77	1.5247165872009995e-07
78	1.1874504720744722e-07
79	9.247873575097166e-08
80	7.202251182033878e-08
81	5.6091188604426534e-08
82	4.368386160853553e-08
83	3.402102562831211e-08
84	2.6495601400219077e-08
85	2.0634795118456462e-08
86	1.6070394596757407e-08
87	1.2515635896225672e-08
88	9.747187036612603e-09
89	7.591116896861017e-09
90	5.9119677836573e-09
91	4.604245139405574e-09
92	3.58578972001955e-09
93	2.792615841887437e-09
94	2.174891404478679e-09
95	1.693807128899804e-09
96	1.3191383183604451e-09
97	1.0273459553187504e-09
98	8.000978344876629e-10
99	6.231168200328127e-10
100	4.852838673857403e-10
101	3.7793945593372467e-10
102	2.9433954423291295e-10
103	2.292318675388047e-10
104	1.785259579437655e-10
105	1.3903615584515403e-10
106	1.0828146704739198e-10
107	8.43296913284238e-11
108	6.567602964322102e-11
109	5.1148543315610645e-11
110	3.9834525587013447e-11
111	3.1023159720380546e-11
112	2.416086108330736e-11
113	1.8816497531349732e-11
114	1.4654303011988737e-11
115	1.1412782661504127e-11
116	8.888284073368406e-12
117	6.922202596451661e-12
118	5.391016802872217e-12
119	4.198528107722044e-12
120	3.269816977955892e-12
121	2.5465360228812547e-12
122	1.9832442487426806e-12
123	1.544552173934837e-12
124	1.2028984425634273e-12
125	9.368182491451466e-13
126	7.295947858748556e-13
127	5.682089906693108e-13
128	4.42521606866011e-13
129	3.4463617392798654e-13
130	2.68402922124285e-13
131	2.090324059267546e-13
132	1.6279460143976206e-13
133	1.2678456303642582e-13
134	9.873991698800683e-14
135	7.689872468206592e-14
136	5.988878699791264e-14
137	4.664143421472091e-14
138	3.6324385494325754e-14
139	2.828945985834983e-14
140	2.2031853500163448e-14
141	1.715842474462703e-14
142	1.3362994638773668e-14
143	1.0407110689814936e-14
144	8.10506595401136e-15
145	6.3122317048971965e-15
146	4.9159709966276385e-15
147	3.82856206216088e-15
148	2.9816871273746017e-15
149	2.3221402765293077e-15
150	1.8084846656136566e-15
151	1.4084492716764223e-15
152	1.0969013953318857e-15
153	8.542676681485132e-16
154	6.653043267080204e-16
155	5.18139532937865e-16
156	4.035274719933249e-16
157	3.142675130330927e-16
158	2.447517835097971e-16
159	1.9061288109469462e-16
160	1.4844946145342176e-16
161	1.1561255610593615e-16
162	9.003915031285386e-17
163	7.012256005877444e-17
164	5.461150499444444e-17
165	4.253148276225799e-17
166	3.312355252568419e-17
167	2.5796648327226167e-17
168	2.0090450183946394e-17
169	1.564645833144366e-17
170	1.2185473653266827e-17
171	9.49005660871486e-18
172	7.390863381107776e-18
173	5.756010214543165e-18
174	4.4827852059197434e-18
175	3.491196647014874e-18
176	2.7189465682283234e-18
177	2.11751779122318e-18
178	1.6491245992057047e-18
179	1.2843395429210636e-18
180	1.0002446541224345e-18
181	7.789912757325282e-19
182	6.06679087326901e-19
183	4.724821100654582e-19
184	3.679693837777398e-19
185	2.865748946727447e-19
186	2.231847389778596e-19
187	1.7381646245431874e-19
188	1.3536839031378984e-19
189	1.0542502073904054e-19
190	8.210507247784637e-20
191	6.394349448890394e-20
192	4.979925020384148e-20
193	3.8783673551696755e-20
194	3.020476107160347e-20
195	2.3523495490910664e-20
196	1.8320123624788038e-20
197	1.4267714995571284e-20
198	1.1111708942072577e-20
199	8.653811468843676e-21
